Brand Name,Music Videos,Price $,Podcasts,Offline Downloads/ Uploads,Brand,MV,Price,Pod,Locker,wt,,,Brand,MV,Price,Pod,Locker
Amazon,Yes,10.99,Yes,Yes,3,2,2,2,2,31,,ft imp,1,3,5,2,4
Amazon,Yes,10.99,Yes,No,3,2,2,2,1,27,,,,,,,
Amazon,Yes,10.99,No,Yes,3,2,2,1,2,29,,,,,,,
Amazon,Yes,10.99,No,No,3,2,2,1,1,25,,,,,,,
Amazon,No,10.99,Yes,Yes,3,1,2,2,2,28,,,,,,,
Amazon,Yes,9.99,Yes,Yes,3,2,1,2,2,26,,,,,,,
Amazon,No,10.99,Yes,No,3,1,2,2,1,24,,23,,,,,
Apple,Yes,10.99,Yes,Yes,2,2,2,2,2,30,,,,,,,
Amazon,Yes,9.99,Yes,No,3,2,1,2,1,22,,,,,,,
Amazon,No,10.99,No,Yes,3,1,2,1,2,26,,,,,,,
Apple,Yes,10.99,Yes,No,2,2,2,2,1,26,,,,,,,
Amazon,Yes,9.99,No,Yes,3,2,1,1,2,24,,,,,,,
Amazon,No,10.99,No,No,3,1,2,1,1,22,,,,,,,
Apple,Yes,10.99,No,Yes,2,2,2,1,2,28,,,,,,,
Amazon,Yes,9.99,No,No,3,2,1,1,1,20,,,,,,,
Amazon,No,9.99,Yes,Yes,3,1,1,2,2,23,,,,,,,
Apple,Yes,10.99,No,No,2,2,2,1,1,24,,,,,,,
Apple,No,10.99,Yes,Yes,2,1,2,2,2,27,,,,,,,
Amazon,No,9.99,Yes,No,3,1,1,2,1,19,,,,,,,
Apple,Yes,9.99,Yes,Yes,2,2,1,2,2,25,,,,,,,
Apple,No,10.99,Yes,No,2,1,2,2,1,23,,,,,,,
Amazon,No,9.99,No,Yes,3,1,1,1,2,21,,,,,,,
Spotify,Yes,10.99,Yes,Yes,1,2,2,2,2,29,,,,,,,
Apple,Yes,9.99,Yes,No,2,2,1,2,1,21,,,,,,,
Apple,No,10.99,No,Yes,2,1,2,1,2,25,,,,,,,
Amazon,No,9.99,No,No,3,1,1,1,1,17,,,,,,,
Spotify,Yes,10.99,Yes,No,1,2,2,2,1,25,,,,,,,
Apple,Yes,9.99,No,Yes,2,2,1,1,2,23,,,,,,,
Apple,No,10.99,No,No,2,1,2,1,1,21,,,,,,,
Spotify,Yes,10.99,No,Yes,1,2,2,1,2,27,,,,,,,
Apple,Yes,9.99,No,No,2,2,1,1,1,19,,,,,,,
Apple,No,9.99,Yes,Yes,2,1,1,2,2,22,,,,,,,
Spotify,Yes,10.99,No,No,1,2,2,1,1,23,,,,,,,
Spotify,No,10.99,Yes,Yes,1,1,2,2,2,26,,,,,,,
Apple,No,9.99,Yes,No,2,1,1,2,1,18,,,,,,,
Spotify,Yes,9.99,Yes,Yes,1,2,1,2,2,24,,,,,,,
Spotify,No,10.99,Yes,No,1,1,2,2,1,22,,,,,,,
Apple,No,9.99,No,Yes,2,1,1,1,2,20,,,,,,,
Spotify,Yes,9.99,Yes,No,1,2,1,2,1,20,,,,,,,
Spotify,No,10.99,No,Yes,1,1,2,1,2,24,,,,,,,
Apple,No,9.99,No,No,2,1,1,1,1,16,,,,,,,
Spotify,Yes,9.99,No,Yes,1,2,1,1,2,22,,,,,,,
Spotify,No,10.99,No,No,1,1,2,1,1,20,,,,,,,
Spotify,Yes,9.99,No,No,1,2,1,1,1,18,,,,,,,
Spotify,No,9.99,Yes,Yes,1,1,1,2,2,21,,,,,,,
Spotify,No,9.99,Yes,No,1,1,1,2,1,17,,,,,,,
Spotify,No,9.99,No,Yes,1,1,1,1,2,19,,,,,,,
Spotify,No,9.99,No,No,1,1,1,1,1,15,,,,,,,
